thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
104,0,104,[-0.2513888888888889],[-0.020833333333333332],[1],[0],[0],[0.8648176999995485],['Target'],104,0,104,0,177.2725115000503,,5,177.26187160005793,177.2725115000503,177.2725115000503,0.01705589995253831,,178.1268308000872,[-0.2513888888888889],[-0.020833333333333332],[1],[0],[0],[0.8648176999995485],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
105,0,105,[0.35],[0.18472222222222223],[1],[0],[0],[1.3292767000384629],['Target'],105,0,105,0,178.15519150008913,,5,178.14559280010872,178.15519150008913,178.15519150008913,0.018510699970647693,179.15786780009512,179.4749739000108,[0.35],[0.18472222222222223],[1],[0],[0],[1.3292767000384629],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
106,0,106,[-0.26805555555555555],[0.1625],[1],[0],[0],[1.0511134000262246],['Target'],106,0,106,0,179.50588470010553,,5,179.4909868000541,179.50588470010553,179.50588470010553,0.015830000047571957,180.5082058000844,180.54217520006932,[-0.26805555555555555],[0.1625],[1],[0],[0],[1.0511134000262246],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
107,0,107,[-0.2152777777777778],[-0.31805555555555554],[1],[0],[0],[1.3177091999677941],['Target'],107,0,107,0,180.5720170000568,,5,180.55885810009204,180.5720170000568,180.5720170000568,0.01653190003708005,181.5739606000716,181.8766367000062,[-0.2152777777777778],[-0.31805555555555554],[1],[0],[0],[1.3177091999677941],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
108,0,108,[0.08611111111111111],[-0.39166666666666666],[1],[0],[0],[2.512539600022137],['Target'],108,0,108,0,181.93926950008608,,10,181.91471290006302,181.93926950008608,181.93926950008608,0.037962400005199015,182.93998280004598,184.4273587000789,[0.08611111111111111],[-0.39166666666666666],[1],[0],[0],[2.512539600022137],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
109,0,109,[-0.24722222222222223],[0.2902777777777778],[1],[0],[0],[1.1122399000450969],['Target'],109,0,109,0,184.45581700000912,,5,184.44718970009126,184.45581700000912,184.45581700000912,0.01959569996688515,185.45791970007122,185.55951750010718,[-0.24722222222222223],[0.2902777777777778],[1],[0],[0],[1.1122399000450969],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
110,0,110,[-0.1486111111111111],[0.3458333333333333],[1],[0],[0],[1.5290614999830723],['Target'],110,0,110,0,185.6062085001031,,5,185.58088880009018,185.6062085001031,185.6062085001031,0.020877799950540066,186.60795680002775,187.11003310000524,[-0.1486111111111111],[0.3458333333333333],[1],[0],[0],[1.5290614999830723],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
111,0,111,[-0.1125],[-0.25833333333333336],[1],[0],[0],[2.0399663998978212],['Target'],111,0,111,0,187.1561587000033,,10,187.13737460004631,187.1561587000033,187.1561587000033,0.02713539998512715,188.1573289000662,189.17731260007713,[-0.1125],[-0.25833333333333336],[1],[0],[0],[2.0399663998978212],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
112,0,112,[0.4388888888888889],[-0.21805555555555556],[1],[0],[0],[1.14843230007682],['Target'],112,0,112,0,189.20595820003655,,5,189.1938634000253,189.20595820003655,189.20595820003655,0.016388999996706843,190.2089686000254,190.34234990004916,[0.4388888888888889],[-0.21805555555555556],[1],[0],[0],[1.14843230007682],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
113,0,113,[-0.2722222222222222],[0.24027777777777778],[1],[0],[0],[1.400515199988149],['Target'],113,0,113,0,190.37262190005276,,5,190.35828390007373,190.37262190005276,190.37262190005276,0.01582219998817891,191.3757739000721,191.75887180003338,[-0.2722222222222222],[0.24027777777777778],[1],[0],[0],[1.400515199988149],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
