delay,freq,condition,key_resp.rt,textbox.text,,,,,,,,
0.1,400,unexp,0.212484,800,,,,,,,,
0.1,1000,exp,0.1763565,130,,,,,,,,
0.7,1000,exp,0.1871396,240,,,,,,,,
0.4,1000,exp,0.2633615,400,,,,,,,,
0.4,400,unexp,0.3774358,980,,,,,,,,
0.4,1000,exp,0.2622268,230,,,,,,,,
0.1,1000,exp,0.2883371,340,,,,,,,,
0.7,1000,exp,0.4075465,120,,,,,,,,
0.1,1000,exp,0.8286915,230,,,,,,,,
0.4,1000,exp,0.2837276,340,,,,,,,,
0.7,1000,exp,0.3981929,120,,,,,,,,
0.1,1000,exp,0.3450302,450,,,,,,,,
0.7,1000,exp,0.372338,230,,,,,,,,
0.4,400,unexp,0.452388,800,,,,,,,,
0.1,1000,exp,0.2453528,100,,,,,,,,
0.7,1000,exp,0.5656684,230,,,,,,,,
0.4,1000,exp,0.2403114,240,,,,,,,,
0.7,1000,exp,0.3389334,234,,,,,,,,
0.7,400,unexp,0.2887753,980,,,,,,,,
0.4,1000,exp,0.2237902,345,,,,,,,,
0.4,1000,exp,1.331365,"456
",,,,,,,,
0.1,400,unexp,4.7074399,890,,,,,,,,
0.1,1000,exp,5.3820911,123,,,,,,,,
0.1,1000,exp,1.931333,340,,,,,,,,
0.7,1000,exp,1.4398459,560,,,,,,,,
0.7,1000,exp,0.0420581,234,,,,,,,,
0.1,1000,exp,1.740952,340,,,,,,,,
